1,2,3,4
-0.014,-0.034,-0.035,-0.046
-0.041,-0.099,-0.108,-0.141
-0.033,-0.077,-0.092,-0.121
-0.003,-0.014,-0.01,-0.016
-0.17,-0.049,-0.049,-0.065
-0.016,-0.04,-0.04,-0.054
-0.03,-0.089,-0.139,-0.18
-0.023,-0.056,-0.059,-0.077
-0.016,-0.042,-0.045,-0.06
-0.008,-0.024,-0.023,-0.032
-0.025,-0.051,-0.057,-0.069
-0.013,-0.032,-0.033,-0.043
-0.011,-0.032,-0.031,-0.042
-0.013,-0.04,-0.038,-0.052
-0.03,-0.042,-0.047,-0.063
-0.013,-0.036,-0.038,-0.049
-0.011,-0.032,-0.031,-0.042
-0.017,-0.036,-0.039,-0.05
